date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:37:10	82060/82060	---MCZ	200	added ('OK')	text/html	etag:W/%2256ddaf5c-1408c%22	https://agileui.com/demo/bratilius-theme-package/index.html	C:/My%20Web%20Sites/Bratilius/agileui.com/demo/bratilius-theme-package/index.html	(from )
12:37:11	69/69	---MCZ	200	added ('OK')	text/plain	date:Wed,%2020%20Jun%202018%2007:37:41%20GMT	https://agileui.com/robots.txt		(from )
12:37:11	2512/2512	---M--	200	added ('OK')	image/png	etag:%2256ddb8a4-9d0%22	https://agileui.com/demo/bratilius-theme-package/assets/images/icons/apple-touch-icon-144-precomposed.png	C:/My%20Web%20Sites/Bratilius/agileui.com/demo/bratilius-theme-package/assets/images/icons/apple-touch-icon-144-precomposed.png	(from https://agileui.com/demo/bratilius-theme-package/index.html)
12:37:12	2107/2107	---M--	200	added ('OK')	image/png	etag:%2256ddb8a4-83b%22	https://agileui.com/demo/bratilius-theme-package/assets/images/icons/apple-touch-icon-114-precomposed.png	C:/My%20Web%20Sites/Bratilius/agileui.com/demo/bratilius-theme-package/assets/images/icons/apple-touch-icon-114-precomposed.png	(from https://agileui.com/demo/bratilius-theme-package/index.html)
12:37:12	1740/1740	---M--	200	added ('OK')	image/png	etag:%2256ddb8a5-6cc%22	https://agileui.com/demo/bratilius-theme-package/assets/images/icons/apple-touch-icon-72-precomposed.png	C:/My%20Web%20Sites/Bratilius/agileui.com/demo/bratilius-theme-package/assets/images/icons/apple-touch-icon-72-precomposed.png	(from https://agileui.com/demo/bratilius-theme-package/index.html)
12:37:12	1552/1552	---M--	200	added ('OK')	image/png	etag:%2256ddb8a5-610%22	https://agileui.com/demo/bratilius-theme-package/assets/images/icons/apple-touch-icon-57-precomposed.png	C:/My%20Web%20Sites/Bratilius/agileui.com/demo/bratilius-theme-package/assets/images/icons/apple-touch-icon-57-precomposed.png	(from https://agileui.com/demo/bratilius-theme-package/index.html)
12:37:13	1255/1255	---M--	200	added ('OK')	image/png	etag:%2256ddb8a6-4e7%22	https://agileui.com/demo/bratilius-theme-package/assets/images/icons/favicon.png	C:/My%20Web%20Sites/Bratilius/agileui.com/demo/bratilius-theme-package/assets/images/icons/favicon.png	(from https://agileui.com/demo/bratilius-theme-package/index.html)
12:37:13	117891/117891	---MCZ	200	added ('OK')	application/javascript	etag:W/%2256ddb059-1cc83%22	https://agileui.com/demo/bratilius-theme-package/assets-minified/js-core.js	C:/My%20Web%20Sites/Bratilius/agileui.com/demo/bratilius-theme-package/assets-minified/js-core.js	(from https://agileui.com/demo/bratilius-theme-package/index.html)
12:37:14	402777/402777	---MCZ	200	added ('OK')	text/css	etag:W/%2256ddb058-62559%22	https://agileui.com/demo/bratilius-theme-package/assets-minified/all-demo.css	C:/My%20Web%20Sites/Bratilius/agileui.com/demo/bratilius-theme-package/assets-minified/all-demo.css	(from https://agileui.com/demo/bratilius-theme-package/index.html)
12:37:14	1924/1924	---M--	200	added ('OK')	image/gif	etag:%2256ddb263-784%22	https://agileui.com/demo/assets/images/spinner/loader-dark.gif	C:/My%20Web%20Sites/Bratilius/agileui.com/demo/assets/images/spinner/loader-dark.gif	(from https://agileui.com/demo/bratilius-theme-package/index.html)
12:37:14	17315/17315	---M--	200	added ('OK')	image/jpeg	etag:%2256ddaff5-43a3%22	https://agileui.com/demo/assets/dummy-images/gravatar.jpg	C:/My%20Web%20Sites/Bratilius/agileui.com/demo/assets/dummy-images/gravatar.jpg	(from https://agileui.com/demo/bratilius-theme-package/index.html)
12:37:14	45146/45146	---MCZ	200	added ('OK')	text/html	etag:W/%2256ddaf44-b05a%22	https://agileui.com/demo/bratilius-theme-package/carousels.html	C:/My%20Web%20Sites/Bratilius/agileui.com/demo/bratilius-theme-package/carousels.html	(from https://agileui.com/demo/bratilius-theme-package/index.html)
12:37:14	25256/25256	---MCZ	200	added ('OK')	text/html	etag:W/%2256ddaf77-62a8%22	https://agileui.com/demo/bratilius-theme-package/slideshows.html	C:/My%20Web%20Sites/Bratilius/agileui.com/demo/bratilius-theme-package/slideshows.html	(from https://agileui.com/demo/bratilius-theme-package/index.html)
12:37:15	58398/58398	---MCZ	200	added ('OK')	text/html	etag:W/%2256ddaf6e-e41e%22	https://agileui.com/demo/bratilius-theme-package/portfolio-2col.html	C:/My%20Web%20Sites/Bratilius/agileui.com/demo/bratilius-theme-package/portfolio-2col.html	(from https://agileui.com/demo/bratilius-theme-package/index.html)
